locus_tag	ftype	length_bp	gene	EC_number	COG	product
OJAHNNJL_00001	gene	1491	dnaA			
OJAHNNJL_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OJAHNNJL_00002	gene	1209	dnaN			
OJAHNNJL_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
OJAHNNJL_00003	gene	1158	recF			
OJAHNNJL_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
OJAHNNJL_00004	gene	516				
OJAHNNJL_00004	CDS	516				hypothetical protein
OJAHNNJL_00005	gene	2145	gyrB1			
OJAHNNJL_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
OJAHNNJL_00006	gene	2517	gyrA1			
OJAHNNJL_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
OJAHNNJL_00007	gene	915				
OJAHNNJL_00007	CDS	915				putative protein
OJAHNNJL_00008	gene	75				
OJAHNNJL_00008	tRNA	75				tRNA-Ile(gat)
OJAHNNJL_00009	gene	74				
OJAHNNJL_00009	tRNA	74				tRNA-Ala(tgc)
OJAHNNJL_00010	gene	108				
OJAHNNJL_00010	CDS	108				hypothetical protein
OJAHNNJL_00011	gene	138				
OJAHNNJL_00011	CDS	138				hypothetical protein
OJAHNNJL_00012	gene	438	cwsA			
OJAHNNJL_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
OJAHNNJL_00013	gene	549	ppiA			
OJAHNNJL_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
OJAHNNJL_00014	gene	153				
OJAHNNJL_00014	CDS	153				hypothetical protein
OJAHNNJL_00015	gene	270				
OJAHNNJL_00015	CDS	270				hypothetical protein
OJAHNNJL_00016	gene	282	crgA			
OJAHNNJL_00016	CDS	282	crgA			Cell division protein CrgA
OJAHNNJL_00017	gene	744				
OJAHNNJL_00017	CDS	744				hypothetical protein
OJAHNNJL_00018	gene	699	trpG			
OJAHNNJL_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
OJAHNNJL_00019	gene	1881	pknB			
OJAHNNJL_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
OJAHNNJL_00020	gene	1296	pknA			
OJAHNNJL_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
OJAHNNJL_00021	gene	1476	pbpA			
OJAHNNJL_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
OJAHNNJL_00022	gene	1410	rodA			
OJAHNNJL_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
OJAHNNJL_00023	gene	1536	pstP			
OJAHNNJL_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
OJAHNNJL_00024	gene	468	fhaB			
OJAHNNJL_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
OJAHNNJL_00025	gene	1566	fhaA			
OJAHNNJL_00025	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
OJAHNNJL_00026	gene	85				
OJAHNNJL_00026	tRNA	85				tRNA-Leu(cag)
OJAHNNJL_00027	gene	270				
OJAHNNJL_00027	CDS	270				hypothetical protein
OJAHNNJL_00028	gene	969	IMPDH			
OJAHNNJL_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
OJAHNNJL_00029	gene	420	whiB5			
OJAHNNJL_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
OJAHNNJL_00030	gene	771				
OJAHNNJL_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
OJAHNNJL_00031	gene	834				
OJAHNNJL_00031	CDS	834				hypothetical protein
OJAHNNJL_00032	gene	363				
OJAHNNJL_00032	CDS	363				putative protein
OJAHNNJL_00033	gene	2313	bioF2			
OJAHNNJL_00033	CDS	2313	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
OJAHNNJL_00034	gene	264	acpP			
OJAHNNJL_00034	CDS	264	acpP			Acyl carrier protein
OJAHNNJL_00035	gene	396				
OJAHNNJL_00035	CDS	396			COG3631	putative protein
OJAHNNJL_00036	gene	1122	dltA_1			
OJAHNNJL_00036	CDS	1122	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
OJAHNNJL_00037	gene	579				
OJAHNNJL_00037	CDS	579		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD21
OJAHNNJL_00038	gene	774				
OJAHNNJL_00038	CDS	774				putative protein
OJAHNNJL_00039	gene	1311				
OJAHNNJL_00039	CDS	1311			COG0477	putative MFS-type transporter
OJAHNNJL_00040	gene	633				
OJAHNNJL_00040	CDS	633				hypothetical protein
OJAHNNJL_00041	gene	348				
OJAHNNJL_00041	CDS	348				hypothetical protein
OJAHNNJL_00042	gene	933				
OJAHNNJL_00042	CDS	933				Proline-rich 28 kDa antigen
OJAHNNJL_00043	gene	2877	leuS			
OJAHNNJL_00043	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
OJAHNNJL_00044	gene	627				
OJAHNNJL_00044	CDS	627				hypothetical protein
OJAHNNJL_00045	gene	735				
OJAHNNJL_00045	CDS	735			COG1802	putative HTH-type transcriptional regulator
OJAHNNJL_00046	gene	795	rutA			
OJAHNNJL_00046	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
OJAHNNJL_00047	gene	897				
OJAHNNJL_00047	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
OJAHNNJL_00048	gene	1104	ino1			
OJAHNNJL_00048	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
OJAHNNJL_00049	gene	543				
OJAHNNJL_00049	CDS	543				hypothetical protein
OJAHNNJL_00050	gene	870				
OJAHNNJL_00050	CDS	870				putative protein
OJAHNNJL_00051	gene	414				
OJAHNNJL_00051	CDS	414				putative protein
OJAHNNJL_00052	gene	2472	ponA1			
OJAHNNJL_00052	CDS	2472	ponA1		COG0744	Penicillin-binding protein 1A
OJAHNNJL_00053	gene	1683				
OJAHNNJL_00053	CDS	1683				hypothetical protein
OJAHNNJL_00054	gene	639	inhA_1			
OJAHNNJL_00054	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
OJAHNNJL_00055	gene	291	rpsF			
OJAHNNJL_00055	CDS	291	rpsF		COG0360	30S ribosomal protein S6
OJAHNNJL_00056	gene	495	ssb			
OJAHNNJL_00056	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
