locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFCBELLD_00001	gene	1491	dnaA			
EFCBELLD_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EFCBELLD_00002	gene	327				
EFCBELLD_00002	CDS	327				IS3 family transposase IS987
EFCBELLD_00003	gene	885				
EFCBELLD_00003	CDS	885				IS3 family transposase IS987
EFCBELLD_00004	gene	1209	dnaN			
EFCBELLD_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
EFCBELLD_00005	gene	1158	recF			
EFCBELLD_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
EFCBELLD_00006	gene	516				
EFCBELLD_00006	CDS	516				hypothetical protein
EFCBELLD_00007	gene	2145	gyrB1			
EFCBELLD_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
EFCBELLD_00008	gene	2517	gyrA1			
EFCBELLD_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
EFCBELLD_00009	gene	198				
EFCBELLD_00009	CDS	198				hypothetical protein
EFCBELLD_00010	gene	306				
EFCBELLD_00010	CDS	306				putative protein
EFCBELLD_00011	gene	75				
EFCBELLD_00011	tRNA	75				tRNA-Ile(gat)
EFCBELLD_00012	gene	74				
EFCBELLD_00012	tRNA	74				tRNA-Ala(tgc)
EFCBELLD_00013	gene	108				
EFCBELLD_00013	CDS	108				hypothetical protein
EFCBELLD_00014	gene	138				
EFCBELLD_00014	CDS	138				hypothetical protein
EFCBELLD_00015	gene	438	cwsA			
EFCBELLD_00015	CDS	438	cwsA			Cell wall synthesis protein CwsA
EFCBELLD_00016	gene	549	ppiA			
EFCBELLD_00016	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
EFCBELLD_00017	gene	153				
EFCBELLD_00017	CDS	153				hypothetical protein
EFCBELLD_00018	gene	360				
EFCBELLD_00018	CDS	360				hypothetical protein
EFCBELLD_00019	gene	282	crgA			
EFCBELLD_00019	CDS	282	crgA			Cell division protein CrgA
EFCBELLD_00020	gene	744				
EFCBELLD_00020	CDS	744				hypothetical protein
EFCBELLD_00021	gene	699	trpG			
EFCBELLD_00021	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
EFCBELLD_00022	gene	1881	pknB			
EFCBELLD_00022	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
EFCBELLD_00023	gene	1296	pknA			
EFCBELLD_00023	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
EFCBELLD_00024	gene	1476	pbpA			
EFCBELLD_00024	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
EFCBELLD_00025	gene	1410	rodA			
EFCBELLD_00025	CDS	1410	rodA		COG0772	putative FtsW-like protein
EFCBELLD_00026	gene	1536	pstP			
EFCBELLD_00026	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
EFCBELLD_00027	gene	468	fhaB			
EFCBELLD_00027	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
EFCBELLD_00028	gene	1566	fhaA			
EFCBELLD_00028	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
EFCBELLD_00029	gene	85				
EFCBELLD_00029	tRNA	85				tRNA-Leu(cag)
EFCBELLD_00030	gene	969	IMPDH			
EFCBELLD_00030	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
EFCBELLD_00031	gene	420	whiB5			
EFCBELLD_00031	CDS	420	whiB5			Transcriptional regulator WhiB5
EFCBELLD_00032	gene	771				
EFCBELLD_00032	CDS	771			COG1396	putative HTH-type transcriptional regulator
EFCBELLD_00033	gene	858				
EFCBELLD_00033	CDS	858				hypothetical protein
EFCBELLD_00034	gene	363				
EFCBELLD_00034	CDS	363				putative protein
EFCBELLD_00035	gene	1347				
EFCBELLD_00035	CDS	1347				hypothetical protein
EFCBELLD_00036	gene	318				
EFCBELLD_00036	CDS	318				hypothetical protein
EFCBELLD_00037	gene	306				
EFCBELLD_00037	CDS	306				putative protein
EFCBELLD_00038	gene	144				
EFCBELLD_00038	CDS	144				putative proteinA
EFCBELLD_00039	gene	876				
EFCBELLD_00039	CDS	876				hypothetical protein
EFCBELLD_00040	gene	330				
EFCBELLD_00040	CDS	330				putative protein
EFCBELLD_00041	gene	2316	bioF2			
EFCBELLD_00041	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
EFCBELLD_00042	gene	264	acpP			
EFCBELLD_00042	CDS	264	acpP			Acyl carrier protein
EFCBELLD_00043	gene	396				
EFCBELLD_00043	CDS	396			COG3631	putative protein
EFCBELLD_00044	gene	1689	menE_1			
EFCBELLD_00044	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
EFCBELLD_00045	gene	774				
EFCBELLD_00045	CDS	774				putative protein
EFCBELLD_00046	gene	1311				
EFCBELLD_00046	CDS	1311			COG0477	putative MFS-type transporter
EFCBELLD_00047	gene	633				
EFCBELLD_00047	CDS	633				hypothetical protein
EFCBELLD_00048	gene	348				
EFCBELLD_00048	CDS	348				hypothetical protein
EFCBELLD_00049	gene	933				
EFCBELLD_00049	CDS	933				Proline-rich 28 kDa antigen
EFCBELLD_00050	gene	2877	leuS			
EFCBELLD_00050	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
EFCBELLD_00051	gene	627				
EFCBELLD_00051	CDS	627				hypothetical protein
EFCBELLD_00052	gene	735				
EFCBELLD_00052	CDS	735			COG1802	putative HTH-type transcriptional regulator
