locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFKDNBOF_00001	gene	1209	dnaN			
MFKDNBOF_00001	CDS	1209	dnaN		COG0592	Beta sliding clamp
MFKDNBOF_00002	gene	1158	recF			
MFKDNBOF_00002	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
MFKDNBOF_00003	gene	516				
MFKDNBOF_00003	CDS	516				hypothetical protein
MFKDNBOF_00004	gene	2145	gyrB1			
MFKDNBOF_00004	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
MFKDNBOF_00005	gene	2517	gyrA1			
MFKDNBOF_00005	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
MFKDNBOF_00006	gene	915				
MFKDNBOF_00006	CDS	915				putative protein
MFKDNBOF_00007	gene	75				
MFKDNBOF_00007	tRNA	75				tRNA-Ile(gat)
MFKDNBOF_00008	gene	74				
MFKDNBOF_00008	tRNA	74				tRNA-Ala(tgc)
MFKDNBOF_00009	gene	108				
MFKDNBOF_00009	CDS	108				hypothetical protein
MFKDNBOF_00010	gene	138				
MFKDNBOF_00010	CDS	138				hypothetical protein
MFKDNBOF_00011	gene	438	cwsA			
MFKDNBOF_00011	CDS	438	cwsA			Cell wall synthesis protein CwsA
MFKDNBOF_00012	gene	549	ppiA			
MFKDNBOF_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
MFKDNBOF_00013	gene	153				
MFKDNBOF_00013	CDS	153				hypothetical protein
MFKDNBOF_00014	gene	360				
MFKDNBOF_00014	CDS	360				hypothetical protein
MFKDNBOF_00015	gene	282	crgA			
MFKDNBOF_00015	CDS	282	crgA			Cell division protein CrgA
MFKDNBOF_00016	gene	744				
MFKDNBOF_00016	CDS	744				hypothetical protein
MFKDNBOF_00017	gene	699	trpG			
MFKDNBOF_00017	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
MFKDNBOF_00018	gene	1881	pknB			
MFKDNBOF_00018	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
MFKDNBOF_00019	gene	1296	pknA			
MFKDNBOF_00019	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
MFKDNBOF_00020	gene	1476	pbpA			
MFKDNBOF_00020	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
MFKDNBOF_00021	gene	1410	rodA			
MFKDNBOF_00021	CDS	1410	rodA		COG0772	putative FtsW-like protein
MFKDNBOF_00022	gene	1536	pstP			
MFKDNBOF_00022	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
MFKDNBOF_00023	gene	468	fhaB			
