locus_tag	ftype	length_bp	gene	EC_number	COG	product
BMIKMJKF_00001	gene	1491	dnaA			
BMIKMJKF_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BMIKMJKF_00002	gene	1209	dnaN			
BMIKMJKF_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
BMIKMJKF_00003	gene	1158	recF			
BMIKMJKF_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
BMIKMJKF_00004	gene	516				
BMIKMJKF_00004	CDS	516				hypothetical protein
BMIKMJKF_00005	gene	2145	gyrB1			
BMIKMJKF_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
BMIKMJKF_00006	gene	2517	gyrA1			
BMIKMJKF_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
BMIKMJKF_00007	gene	198				
BMIKMJKF_00007	CDS	198				hypothetical protein
BMIKMJKF_00008	gene	306				
BMIKMJKF_00008	CDS	306				putative protein
BMIKMJKF_00009	gene	75				
BMIKMJKF_00009	tRNA	75				tRNA-Ile(gat)
BMIKMJKF_00010	gene	74				
BMIKMJKF_00010	tRNA	74				tRNA-Ala(tgc)
BMIKMJKF_00011	gene	108				
BMIKMJKF_00011	CDS	108				hypothetical protein
BMIKMJKF_00012	gene	138				
BMIKMJKF_00012	CDS	138				hypothetical protein
BMIKMJKF_00013	gene	438	cwsA			
BMIKMJKF_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
BMIKMJKF_00014	gene	549	ppiA			
BMIKMJKF_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
BMIKMJKF_00015	gene	153				
BMIKMJKF_00015	CDS	153				hypothetical protein
BMIKMJKF_00016	gene	360				
BMIKMJKF_00016	CDS	360				hypothetical protein
BMIKMJKF_00017	gene	282	crgA			
BMIKMJKF_00017	CDS	282	crgA			Cell division protein CrgA
BMIKMJKF_00018	gene	744				
BMIKMJKF_00018	CDS	744				hypothetical protein
BMIKMJKF_00019	gene	699	trpG			
BMIKMJKF_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
BMIKMJKF_00020	gene	1881	pknB			
BMIKMJKF_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
BMIKMJKF_00021	gene	1296	pknA			
BMIKMJKF_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
BMIKMJKF_00022	gene	1476	pbpA			
BMIKMJKF_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
BMIKMJKF_00023	gene	1410	rodA			
BMIKMJKF_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
BMIKMJKF_00024	gene	1536	pstP			
BMIKMJKF_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
BMIKMJKF_00025	gene	468	fhaB			
BMIKMJKF_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
BMIKMJKF_00026	gene	1584	fhaA			
BMIKMJKF_00026	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
BMIKMJKF_00027	gene	85				
BMIKMJKF_00027	tRNA	85				tRNA-Leu(cag)
BMIKMJKF_00028	gene	969	IMPDH			
BMIKMJKF_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
BMIKMJKF_00029	gene	420	whiB5			
BMIKMJKF_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
BMIKMJKF_00030	gene	771				
BMIKMJKF_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
BMIKMJKF_00031	gene	846				
BMIKMJKF_00031	CDS	846				hypothetical protein
BMIKMJKF_00032	gene	363				
BMIKMJKF_00032	CDS	363				putative protein
BMIKMJKF_00033	gene	1347				
BMIKMJKF_00033	CDS	1347				hypothetical protein
BMIKMJKF_00034	gene	318				
BMIKMJKF_00034	CDS	318				hypothetical protein
BMIKMJKF_00035	gene	306				
BMIKMJKF_00035	CDS	306				putative protein
BMIKMJKF_00036	gene	144				
BMIKMJKF_00036	CDS	144				putative proteinA
BMIKMJKF_00037	gene	876				
BMIKMJKF_00037	CDS	876				hypothetical protein
BMIKMJKF_00038	gene	330				
BMIKMJKF_00038	CDS	330				putative protein
BMIKMJKF_00039	gene	2316	bioF2			
BMIKMJKF_00039	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
BMIKMJKF_00040	gene	264	acpP			
BMIKMJKF_00040	CDS	264	acpP			Acyl carrier protein
BMIKMJKF_00041	gene	396				
BMIKMJKF_00041	CDS	396			COG3631	putative protein
BMIKMJKF_00042	gene	1689	menE_1			
BMIKMJKF_00042	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
BMIKMJKF_00043	gene	774				
BMIKMJKF_00043	CDS	774				putative protein
BMIKMJKF_00044	gene	1311				
BMIKMJKF_00044	CDS	1311			COG0477	putative MFS-type transporter
BMIKMJKF_00045	gene	633				
BMIKMJKF_00045	CDS	633				hypothetical protein
BMIKMJKF_00046	gene	348				
BMIKMJKF_00046	CDS	348				hypothetical protein
BMIKMJKF_00047	gene	933				
BMIKMJKF_00047	CDS	933				Proline-rich 28 kDa antigen
BMIKMJKF_00048	gene	2877	leuS			
BMIKMJKF_00048	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
BMIKMJKF_00049	gene	627				
BMIKMJKF_00049	CDS	627				hypothetical protein
BMIKMJKF_00050	gene	735				
BMIKMJKF_00050	CDS	735			COG1802	putative HTH-type transcriptional regulator
BMIKMJKF_00051	gene	795	rutA			
BMIKMJKF_00051	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
BMIKMJKF_00052	gene	897				
BMIKMJKF_00052	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
BMIKMJKF_00053	gene	1104	ino1			
BMIKMJKF_00053	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
BMIKMJKF_00054	gene	543				
BMIKMJKF_00054	CDS	543				hypothetical protein
BMIKMJKF_00055	gene	870				
BMIKMJKF_00055	CDS	870				putative protein
BMIKMJKF_00056	gene	414				
BMIKMJKF_00056	CDS	414				putative protein
BMIKMJKF_00057	gene	2466	ponA1			
BMIKMJKF_00057	CDS	2466	ponA1		COG0744	Penicillin-binding protein 1A
BMIKMJKF_00058	gene	1683				
BMIKMJKF_00058	CDS	1683				hypothetical protein
BMIKMJKF_00059	gene	639	inhA_1			
BMIKMJKF_00059	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
BMIKMJKF_00060	gene	291	rpsF			
BMIKMJKF_00060	CDS	291	rpsF		COG0360	30S ribosomal protein S6
BMIKMJKF_00061	gene	495	ssb			
BMIKMJKF_00061	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
BMIKMJKF_00062	gene	255	rpsR1_1			
BMIKMJKF_00062	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
BMIKMJKF_00063	gene	459	rplI			
BMIKMJKF_00063	CDS	459	rplI		COG0359	50S ribosomal protein L9
BMIKMJKF_00064	gene	522				
BMIKMJKF_00064	CDS	522				hypothetical protein
BMIKMJKF_00065	gene	2625	dnaB			
BMIKMJKF_00065	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
BMIKMJKF_00066	gene	693				
BMIKMJKF_00066	CDS	693				hypothetical protein
BMIKMJKF_00067	gene	1059				
BMIKMJKF_00067	CDS	1059				hypothetical protein
BMIKMJKF_00068	gene	654				
BMIKMJKF_00068	CDS	654				hypothetical protein
BMIKMJKF_00069	gene	924	cenA			
BMIKMJKF_00069	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
BMIKMJKF_00070	gene	1440	yvdP			
BMIKMJKF_00070	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
BMIKMJKF_00071	gene	156				
BMIKMJKF_00071	CDS	156				hypothetical protein
BMIKMJKF_00072	gene	2940				
BMIKMJKF_00072	CDS	2940				hypothetical protein
BMIKMJKF_00073	gene	240				
BMIKMJKF_00073	CDS	240				hypothetical protein
BMIKMJKF_00074	gene	402	vapC9_1			
BMIKMJKF_00074	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
BMIKMJKF_00075	gene	2238	icd2			
BMIKMJKF_00075	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
BMIKMJKF_00076	gene	570				
BMIKMJKF_00076	CDS	570				hypothetical protein
BMIKMJKF_00077	gene	912				
BMIKMJKF_00077	CDS	912				hypothetical protein
BMIKMJKF_00078	gene	1386	sdaA			
BMIKMJKF_00078	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
BMIKMJKF_00079	gene	1278	glyA2			
BMIKMJKF_00079	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
BMIKMJKF_00080	gene	91				
BMIKMJKF_00080	misc_RNA	91				Glycine
BMIKMJKF_00081	gene	717				
BMIKMJKF_00081	CDS	717				hypothetical protein
BMIKMJKF_00082	gene	99				
BMIKMJKF_00082	misc_RNA	99				Intron_gpII
BMIKMJKF_00083	gene	1050				
BMIKMJKF_00083	CDS	1050			COG0577	putative ABC transporter permease
BMIKMJKF_00084	gene	993				
BMIKMJKF_00084	CDS	993			COG0664	putative ABC transporter ATP-binding protein
BMIKMJKF_00085	gene	1236	hutI_1			
BMIKMJKF_00085	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
BMIKMJKF_00086	gene	1173	metC			
BMIKMJKF_00086	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
BMIKMJKF_00087	gene	390				
BMIKMJKF_00087	CDS	390				hypothetical protein
BMIKMJKF_00088	gene	831	oleB			
BMIKMJKF_00088	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
BMIKMJKF_00089	gene	606	tetC			
BMIKMJKF_00089	CDS	606	tetC			Transposon Tn10 TetC protein
BMIKMJKF_00090	gene	594				
BMIKMJKF_00090	CDS	594				hypothetical protein
BMIKMJKF_00091	gene	207				
BMIKMJKF_00091	CDS	207				hypothetical protein
BMIKMJKF_00092	gene	822				
BMIKMJKF_00092	CDS	822				Dormancy associated translation inhibitor
BMIKMJKF_00093	gene	459				
BMIKMJKF_00093	CDS	459				putative protein
BMIKMJKF_00094	gene	345				
