locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBJMGFMJ_00001	gene	1491	dnaA			
FBJMGFMJ_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FBJMGFMJ_00002	gene	327				
FBJMGFMJ_00002	CDS	327				IS3 family transposase IS987
FBJMGFMJ_00003	gene	885				
FBJMGFMJ_00003	CDS	885				IS3 family transposase IS987
FBJMGFMJ_00004	gene	1209	dnaN			
FBJMGFMJ_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
FBJMGFMJ_00005	gene	1158	recF			
FBJMGFMJ_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
FBJMGFMJ_00006	gene	516				
FBJMGFMJ_00006	CDS	516				hypothetical protein
FBJMGFMJ_00007	gene	2145	gyrB1			
FBJMGFMJ_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
FBJMGFMJ_00008	gene	2517	gyrA1			
FBJMGFMJ_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
FBJMGFMJ_00009	gene	198				
FBJMGFMJ_00009	CDS	198				hypothetical protein
FBJMGFMJ_00010	gene	306				
FBJMGFMJ_00010	CDS	306				putative protein
FBJMGFMJ_00011	gene	75				
FBJMGFMJ_00011	tRNA	75				tRNA-Ile(gat)
FBJMGFMJ_00012	gene	74				
FBJMGFMJ_00012	tRNA	74				tRNA-Ala(tgc)
FBJMGFMJ_00013	gene	108				
FBJMGFMJ_00013	CDS	108				hypothetical protein
FBJMGFMJ_00014	gene	438	cwsA			
FBJMGFMJ_00014	CDS	438	cwsA			Cell wall synthesis protein CwsA
FBJMGFMJ_00015	gene	549	ppiA			
FBJMGFMJ_00015	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FBJMGFMJ_00016	gene	153				
FBJMGFMJ_00016	CDS	153				hypothetical protein
FBJMGFMJ_00017	gene	360				
FBJMGFMJ_00017	CDS	360				hypothetical protein
FBJMGFMJ_00018	gene	282	crgA			
FBJMGFMJ_00018	CDS	282	crgA			Cell division protein CrgA
FBJMGFMJ_00019	gene	744				
FBJMGFMJ_00019	CDS	744				hypothetical protein
FBJMGFMJ_00020	gene	699	trpG			
FBJMGFMJ_00020	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FBJMGFMJ_00021	gene	1881	pknB			
FBJMGFMJ_00021	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FBJMGFMJ_00022	gene	1296	pknA			
FBJMGFMJ_00022	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FBJMGFMJ_00023	gene	1476	pbpA			
FBJMGFMJ_00023	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
FBJMGFMJ_00024	gene	1410	rodA			
FBJMGFMJ_00024	CDS	1410	rodA		COG0772	putative FtsW-like protein
FBJMGFMJ_00025	gene	1536	pstP			
FBJMGFMJ_00025	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FBJMGFMJ_00026	gene	468	fhaB			
FBJMGFMJ_00026	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FBJMGFMJ_00027	gene	1566	fhaA			
FBJMGFMJ_00027	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
FBJMGFMJ_00028	gene	85				
FBJMGFMJ_00028	tRNA	85				tRNA-Leu(cag)
FBJMGFMJ_00029	gene	969	IMPDH			
FBJMGFMJ_00029	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FBJMGFMJ_00030	gene	420	whiB5			
FBJMGFMJ_00030	CDS	420	whiB5			Transcriptional regulator WhiB5
FBJMGFMJ_00031	gene	771				
FBJMGFMJ_00031	CDS	771			COG1396	putative HTH-type transcriptional regulator
FBJMGFMJ_00032	gene	858				
FBJMGFMJ_00032	CDS	858				hypothetical protein
FBJMGFMJ_00033	gene	363				
FBJMGFMJ_00033	CDS	363				putative protein
FBJMGFMJ_00034	gene	1347				
FBJMGFMJ_00034	CDS	1347				hypothetical protein
FBJMGFMJ_00035	gene	318				
FBJMGFMJ_00035	CDS	318				hypothetical protein
FBJMGFMJ_00036	gene	306				
FBJMGFMJ_00036	CDS	306				putative protein
FBJMGFMJ_00037	gene	144				
FBJMGFMJ_00037	CDS	144				putative proteinA
FBJMGFMJ_00038	gene	876				
FBJMGFMJ_00038	CDS	876				hypothetical protein
FBJMGFMJ_00039	gene	330				
FBJMGFMJ_00039	CDS	330				putative protein
FBJMGFMJ_00040	gene	2316	bioF2			
FBJMGFMJ_00040	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
FBJMGFMJ_00041	gene	264	acpP			
FBJMGFMJ_00041	CDS	264	acpP			Acyl carrier protein
FBJMGFMJ_00042	gene	396				
FBJMGFMJ_00042	CDS	396			COG3631	putative protein
FBJMGFMJ_00043	gene	1689	menE_1			
FBJMGFMJ_00043	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FBJMGFMJ_00044	gene	774				
FBJMGFMJ_00044	CDS	774				putative protein
FBJMGFMJ_00045	gene	1311				
FBJMGFMJ_00045	CDS	1311			COG0477	putative MFS-type transporter
FBJMGFMJ_00046	gene	633				
FBJMGFMJ_00046	CDS	633				hypothetical protein
FBJMGFMJ_00047	gene	348				
FBJMGFMJ_00047	CDS	348				hypothetical protein
FBJMGFMJ_00048	gene	933				
FBJMGFMJ_00048	CDS	933				Proline-rich 28 kDa antigen
FBJMGFMJ_00049	gene	2877	leuS			
FBJMGFMJ_00049	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FBJMGFMJ_00050	gene	627				
FBJMGFMJ_00050	CDS	627				hypothetical protein
FBJMGFMJ_00051	gene	735				
FBJMGFMJ_00051	CDS	735			COG1802	putative HTH-type transcriptional regulator
FBJMGFMJ_00052	gene	795	rutA			
FBJMGFMJ_00052	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
FBJMGFMJ_00053	gene	678				
FBJMGFMJ_00053	CDS	678				hypothetical protein
FBJMGFMJ_00054	gene	1104	ino1			
FBJMGFMJ_00054	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
FBJMGFMJ_00055	gene	543				
FBJMGFMJ_00055	CDS	543				hypothetical protein
FBJMGFMJ_00056	gene	870				
FBJMGFMJ_00056	CDS	870				putative protein
FBJMGFMJ_00057	gene	414				
FBJMGFMJ_00057	CDS	414				putative protein
FBJMGFMJ_00058	gene	2475	ponA1			
FBJMGFMJ_00058	CDS	2475	ponA1		COG0744	Penicillin-binding protein 1A
FBJMGFMJ_00059	gene	1683				
FBJMGFMJ_00059	CDS	1683				hypothetical protein
FBJMGFMJ_00060	gene	639	inhA_1			
FBJMGFMJ_00060	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
FBJMGFMJ_00061	gene	291	rpsF			
FBJMGFMJ_00061	CDS	291	rpsF		COG0360	30S ribosomal protein S6
FBJMGFMJ_00062	gene	495	ssb			
FBJMGFMJ_00062	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
FBJMGFMJ_00063	gene	255	rpsR1_1			
FBJMGFMJ_00063	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
FBJMGFMJ_00064	gene	459	rplI			
FBJMGFMJ_00064	CDS	459	rplI		COG0359	50S ribosomal protein L9
FBJMGFMJ_00065	gene	522				
FBJMGFMJ_00065	CDS	522				hypothetical protein
FBJMGFMJ_00066	gene	2625	dnaB			
FBJMGFMJ_00066	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FBJMGFMJ_00067	gene	693				
FBJMGFMJ_00067	CDS	693				hypothetical protein
FBJMGFMJ_00068	gene	1059				
FBJMGFMJ_00068	CDS	1059				hypothetical protein
FBJMGFMJ_00069	gene	201				
FBJMGFMJ_00069	CDS	201				hypothetical protein
FBJMGFMJ_00070	gene	213				
FBJMGFMJ_00070	CDS	213				hypothetical protein
FBJMGFMJ_00071	gene	924	cenA			
FBJMGFMJ_00071	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
FBJMGFMJ_00072	gene	1461	yvdP			
FBJMGFMJ_00072	CDS	1461	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
FBJMGFMJ_00073	gene	156				
FBJMGFMJ_00073	CDS	156				hypothetical protein
FBJMGFMJ_00074	gene	2940				
FBJMGFMJ_00074	CDS	2940				hypothetical protein
FBJMGFMJ_00075	gene	240				
FBJMGFMJ_00075	CDS	240				hypothetical protein
FBJMGFMJ_00076	gene	402	vapC9_1			
FBJMGFMJ_00076	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
FBJMGFMJ_00077	gene	2238	icd2			
FBJMGFMJ_00077	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
