locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIBDFJJH_00001	gene	1491	dnaA			
BIBDFJJH_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BIBDFJJH_00002	gene	327				
BIBDFJJH_00002	CDS	327				IS3 family transposase IS987
BIBDFJJH_00003	gene	885				
BIBDFJJH_00003	CDS	885				IS3 family transposase IS987
BIBDFJJH_00004	gene	1209	dnaN			
BIBDFJJH_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
BIBDFJJH_00005	gene	1158	recF			
BIBDFJJH_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
BIBDFJJH_00006	gene	516				
BIBDFJJH_00006	CDS	516				hypothetical protein
BIBDFJJH_00007	gene	2145	gyrB1			
BIBDFJJH_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
BIBDFJJH_00008	gene	2517	gyrA1			
BIBDFJJH_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
BIBDFJJH_00009	gene	198				
BIBDFJJH_00009	CDS	198				hypothetical protein
BIBDFJJH_00010	gene	306				
BIBDFJJH_00010	CDS	306				putative protein
BIBDFJJH_00011	gene	75				
BIBDFJJH_00011	tRNA	75				tRNA-Ile(gat)
BIBDFJJH_00012	gene	74				
BIBDFJJH_00012	tRNA	74				tRNA-Ala(tgc)
BIBDFJJH_00013	gene	138				
BIBDFJJH_00013	CDS	138				hypothetical protein
BIBDFJJH_00014	gene	438	cwsA			
BIBDFJJH_00014	CDS	438	cwsA			Cell wall synthesis protein CwsA
BIBDFJJH_00015	gene	549	ppiA			
BIBDFJJH_00015	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
BIBDFJJH_00016	gene	153				
BIBDFJJH_00016	CDS	153				hypothetical protein
BIBDFJJH_00017	gene	360				
BIBDFJJH_00017	CDS	360				hypothetical protein
BIBDFJJH_00018	gene	282	crgA			
BIBDFJJH_00018	CDS	282	crgA			Cell division protein CrgA
BIBDFJJH_00019	gene	744				
BIBDFJJH_00019	CDS	744				hypothetical protein
BIBDFJJH_00020	gene	699	trpG			
BIBDFJJH_00020	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
BIBDFJJH_00021	gene	1881	pknB			
BIBDFJJH_00021	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
BIBDFJJH_00022	gene	1296	pknA			
BIBDFJJH_00022	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
BIBDFJJH_00023	gene	1476	pbpA			
BIBDFJJH_00023	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
BIBDFJJH_00024	gene	1410	rodA			
BIBDFJJH_00024	CDS	1410	rodA		COG0772	putative FtsW-like protein
BIBDFJJH_00025	gene	1536	pstP			
BIBDFJJH_00025	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
BIBDFJJH_00026	gene	468	fhaB			
BIBDFJJH_00026	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
BIBDFJJH_00027	gene	1566	fhaA			
BIBDFJJH_00027	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
BIBDFJJH_00028	gene	85				
BIBDFJJH_00028	tRNA	85				tRNA-Leu(cag)
BIBDFJJH_00029	gene	270				
BIBDFJJH_00029	CDS	270				hypothetical protein
BIBDFJJH_00030	gene	969	IMPDH			
