locus_tag	ftype	length_bp	gene	EC_number	COG	product
BDEKABBC_00001	gene	1188	dnaA			
BDEKABBC_00001	CDS	1188	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BDEKABBC_00002	gene	1209	dnaN			
BDEKABBC_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
BDEKABBC_00003	gene	1158	recF			
BDEKABBC_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
BDEKABBC_00004	gene	516				
BDEKABBC_00004	CDS	516				hypothetical protein
BDEKABBC_00005	gene	2145	gyrB1			
BDEKABBC_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
BDEKABBC_00006	gene	2517	gyrA1			
BDEKABBC_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
BDEKABBC_00007	gene	198				
BDEKABBC_00007	CDS	198				hypothetical protein
BDEKABBC_00008	gene	306				
BDEKABBC_00008	CDS	306				putative protein
BDEKABBC_00009	gene	75				
BDEKABBC_00009	tRNA	75				tRNA-Ile(gat)
BDEKABBC_00010	gene	74				
BDEKABBC_00010	tRNA	74				tRNA-Ala(tgc)
BDEKABBC_00011	gene	108				
BDEKABBC_00011	CDS	108				hypothetical protein
BDEKABBC_00012	gene	138				
BDEKABBC_00012	CDS	138				hypothetical protein
BDEKABBC_00013	gene	438	cwsA			
BDEKABBC_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
BDEKABBC_00014	gene	549	ppiA			
BDEKABBC_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
BDEKABBC_00015	gene	153				
BDEKABBC_00015	CDS	153				hypothetical protein
BDEKABBC_00016	gene	270				
BDEKABBC_00016	CDS	270				hypothetical protein
BDEKABBC_00017	gene	282	crgA			
BDEKABBC_00017	CDS	282	crgA			Cell division protein CrgA
BDEKABBC_00018	gene	744				
BDEKABBC_00018	CDS	744				hypothetical protein
BDEKABBC_00019	gene	699	trpG			
BDEKABBC_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
BDEKABBC_00020	gene	1881	pknB			
BDEKABBC_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
BDEKABBC_00021	gene	1296	pknA			
BDEKABBC_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
BDEKABBC_00022	gene	1476	pbpA			
BDEKABBC_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
BDEKABBC_00023	gene	1410	rodA			
BDEKABBC_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
BDEKABBC_00024	gene	1536	pstP			
BDEKABBC_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
BDEKABBC_00025	gene	468	fhaB			
BDEKABBC_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
BDEKABBC_00026	gene	1566	fhaA			
BDEKABBC_00026	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
BDEKABBC_00027	gene	85				
BDEKABBC_00027	tRNA	85				tRNA-Leu(cag)
BDEKABBC_00028	gene	270				
BDEKABBC_00028	CDS	270				hypothetical protein
BDEKABBC_00029	gene	969	IMPDH			
