locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLJCGKGA_00001	gene	1491	dnaA			
LLJCGKGA_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LLJCGKGA_00002	gene	1209	dnaN			
LLJCGKGA_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
LLJCGKGA_00003	gene	1158	recF			
LLJCGKGA_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
LLJCGKGA_00004	gene	516				
LLJCGKGA_00004	CDS	516				hypothetical protein
LLJCGKGA_00005	gene	2145	gyrB1			
LLJCGKGA_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
LLJCGKGA_00006	gene	2517	gyrA1			
LLJCGKGA_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
LLJCGKGA_00007	gene	198				
LLJCGKGA_00007	CDS	198				hypothetical protein
LLJCGKGA_00008	gene	306				
LLJCGKGA_00008	CDS	306				putative protein
LLJCGKGA_00009	gene	75				
LLJCGKGA_00009	tRNA	75				tRNA-Ile(gat)
LLJCGKGA_00010	gene	74				
LLJCGKGA_00010	tRNA	74				tRNA-Ala(tgc)
LLJCGKGA_00011	gene	138				
LLJCGKGA_00011	CDS	138				hypothetical protein
LLJCGKGA_00012	gene	438	cwsA			
LLJCGKGA_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
LLJCGKGA_00013	gene	549	ppiA			
LLJCGKGA_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
LLJCGKGA_00014	gene	153				
LLJCGKGA_00014	CDS	153				hypothetical protein
LLJCGKGA_00015	gene	360				
LLJCGKGA_00015	CDS	360				hypothetical protein
LLJCGKGA_00016	gene	282	crgA			
LLJCGKGA_00016	CDS	282	crgA			Cell division protein CrgA
LLJCGKGA_00017	gene	744				
LLJCGKGA_00017	CDS	744				hypothetical protein
LLJCGKGA_00018	gene	699	trpG			
